parameter_id,label,africa,asia,ghana,pakistan,zambia,zimbabwe,rwanda,drc,liberia,bangladesh,kenya,mozambique,burkina faso,côte d'ivoire,guinea-bissau,niger,sierra leone,uganda,nepal,malawi
readinessFacility.hw,Facility: Health worker competent in abortion care,57%,39%,57%,6%,29%,14%,57%,57%,57%,39%,57%,57%,57%,57%,57%,57%,57%,19.00%,34%,57%
readinessFacility.miso,Facility: Misoprostol,62%,94%,83%,75%,69%,29%,62%,59%,69%,94%,62%,62%,62%,62%,62%,62%,62%,91.00%,94%,62%
readinessFacility.mife,Facility: Mifepristone,6%,0%,33%,2%,6%,2%,6%,6%,6%,0%,6%,6%,6%,6%,6%,6%,6%,20.00%,0%,6%
readinessFacility.vacasp,"Facility: Vacuum aspiration kit (MVA, EVA kit)",57%,94%,74%,60%,80%,5%,57%,57%,63%,94%,57%,57%,57%,57%,57%,57%,57%,81.00%,68%,57%
readinessFacility.dilevac,Facility: Dilation and evacuation kit (D&E kit),26%,0%,37%,43%,0%,26%,26%,26%,26%,0%,26%,26%,26%,26%,26%,26%,26%,20.00%,0%,26%
readinessFacility.dilcur,Facility: Dilation and curettage kit (D&C kit),18%,94%,36%,59%,80%,6%,18%,18%,63%,94%,18%,18%,18%,18%,18%,18%,18%,70.00%,94%,18%
readinessFacility.latexgloves,Facility: Disposable latex gloves (sterile),48%,89%,79%,53%,40%,63%,48%,48%,7%,89%,48%,48%,48%,48%,48%,48%,48%,100.00%,87%,48%
readinessFacility.antiseptic,Facility: Antiseptic for cleaning cervix,40%,67%,74%,57%,40%,54%,40%,40%,4%,67%,40%,40%,40%,40%,40%,40%,40%,40.00%,94%,40%
readinessFacility.antibiotics,Facility: Antibiotics for prophylaxis,75%,100%,65%,78%,81%,67%,75%,79%,63%,100%,75%,75%,75%,75%,75%,75%,75%,99.00%,87%,75%
readinessFacility.cemonc,Facility: CEmONC,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,25.00%,28%,16%
readinessOutOfFacility.hw,Out-of-facility: Health worker competent in abortion care,20%,35%,20%,35%,20%,20%,20%,20%,20%,35%,20%,20%,20%,20%,20%,20%,20%,13.00%,35%,20%
readinessOutOfFacility.miso,Out-of-facility: Misoprostol,50%,65%,74%,65%,50%,50%,50%,50%,50%,65%,50%,50%,50%,50%,50%,50%,50%,20.00%,38%,50%
readinessOutOfFacility.mife,Out-of-facility: Mifepristone,15%,45%,15%,45%,15%,15%,15%,15%,15%,45%,15%,15%,15%,15%,15%,15%,15%,20.00%,38%,15%
readinessOutOfFacility.other,Out-of-facility: Other items for non-recommended out-of-facility services,55%,40%,55%,40%,55%,55%,55%,55%,55%,40%,55%,55%,55%,55%,55%,55%,55%,20.00%,40%,55%
familyPlanning.pDemandForFamilyPlanning,Demand for family planning,77%,83%,77%,83%,77%,78%,77%,77%,77%,83%,77%,77%,77%,77%,77%,77%,77%,66.00%,78.00%,77%
familyPlanning.pMetDemandForFamilyPlanning,Met demand for family planning,56%,70%,56%,70%,56%,89%,56%,56%,56%,70%,56%,56%,56%,56%,56%,56%,56%,42.00%,74.00%,56%
familyPlanning.pCombinedEffectivenessOfMethods,Combined effectiveness of contraceptive methods,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86.00%,86%,86%
